stt,word,furigana,Sino-Vietnamese,meaning,example
16,将来,しょうらい,tướng lai,tương lai,"[['1. 将来の希望は海外で働くことだ。', 'Tôi có nguyện vọng là làm ở nước ngoài trong tương lai.'], ['2. 日本の将来を考える。', 'Suy nghĩ về tương lai của Nhật Bản.'], ['3. この子は絵がうまくて今から将来が楽しみだ。', 'Cậu bé đó vẽ tranh rất đẹp nên bây giờ có thể mong chờ một tương lai tốt đẹp.'], ['4. 彼女は将来有望な新人だ。', 'Trong tương lai, cô ấy có triển vọng trở thành một con người mới.'], ['類 未来', ''], ['連 近い＿', '']]"
17,才能,さいのう,tài năng,tài năng,"[['1. 彼女には音楽の才能がある。', 'Cô ấy có tài năng về âm nhạc.'], ['連 ＿がある＜＝＞ない、＿が豊だ＜＝＞＿に乏しい、＿に恵まれる', '']]"
18,能力,のうりょく,năng lực,năng lực,"[['1. 私にはこの問題を解決する能力はない。', 'Tôi không có năng lực để giải quyết vấn đề này.'], ['2. このホールは100人以上の収容能力がある。', 'Đại sảnh này có sức chứa trên 100 người.'], ['合 潜在＿、知的＿、＿試験、＿開発、＿給', ''], ['連 ＿がある＜＝＞ない、＿が高い＜＝＞低い、＿が上がる・をあげる', '']]"
19,長所,ちょうしょ,trường/trưởng sở,sở trường,"[['1. 「あなたの性格の長所と短所を言ってください。」', 'Hãy nói về sở trường và sở đoản trong tính cách của bạn.'], ['2. この車の長所は燃費がいいところ。', 'Điểm mạnh của xe ô tô này là tỉ lệ hao nhiên liệu tốt (hao ít).'], ['関 美点、取柄', ''], ['対 短所', ''], ['連 ＿を伸ばす、＿を生かす', '']]"
20,個性,こせい,cá tính,cá tính,"[['1. 子供たちの個性を伸ばすような教育したい。', 'Muốn giáo dục để phát triển cá tính của con trẻ.'], ['合 ＿的な', ''], ['連 ＿がある＜＝＞ない、＿を伸ばす、＿が豊かだ', '']]"
21,遺伝,いでん,di truyền/truyện,di truyền,"[['1. 私の左利きは親からの遺伝だ。', 'Tôi thuận tay trái là sự di truyền từ bố mẹ.'], ['合 ＿子（遺伝子操作、遺伝子治療、遺伝子組み換え）', '']]"
22,動作,どうさ,động tác,động tác,"[['1. 彼女の動作は優雅で美しい。', 'Động tác của cô ấy dịu dàng và đẹp đẽ.'], ['2. 体の小さい動物ほど動作がすばやいそうだ。', 'Những động vật có thân hình nhỏ thường có động tác nhanh nhẹn.'], ['関 身振り、手振り', '']]"
23,真似,まね,chân tự,"bắt chước, copy","[['1. 子供は何でも親の真似をしたがるものだ。', 'Trẻ con thường bắt chước cha mẹ.'], ['2. 「あなたの絵は黒田さんの絵の真似ですね」', 'Tranh của bạn giống tranh của cậu Kuroda nhỉ.'], ['関 コピー', ''], ['類 模倣', ''], ['合 もの＿', '']]"
24,睡眠,すいみん,thụy miên,"ngủ, giấc ngủ","[['1. アンケートの結果、睡眠時間は平均7時間という人が最も多かった。', 'Theo kết quả điều tra, trung bình người ngủ 7 tiếng mỗi ngày nhiều nhất.'], ['2. 「最近どうも疲れが取れなくて…」「睡眠は足りていますか」', '""Dạo gần đây cứ hay mệt mỏi… """"Do thiếu ngủ à""'], ['関 眠る、寝る', ''], ['類 眠り', ''], ['合 ＿時間、＿不足', ''], ['連 ＿をとる、＿が深い＜＝＞浅い', '']]"
25,食欲,しょくよく,thực dục,thèm ăn,"[['1. 今、風邪を引いて食欲がない。', 'Bây giờ bị cảm nên không muốn ăn.'], ['2. 食堂のそばをとると、いい匂いで食欲がわいてくる。', 'Ngửi thấy mùi thơm bánh mì Soba ở nhà ăn là cơn thèm ăn lại cuộn trào lên.'], ['合 ＿不振、＿旺盛な', ''], ['連 ＿がある＜＝＞ない、＿がわく、＿を満たす', '']]"
26,外食,がいしょく,ngoại thực,ăn ngoài,"[['1. ひとり暮らしになって、外食が増えた。', 'Sống một mình nên thường ăn ngoài.'], ['合 ＿産業', '']]"
27,家事,かじ,gia sự,việc nhà,"[['1. 最近は、家事や育児する男性が増えた。', 'Gần đây, số lượng nam giới làm việc nhà và chăm con đang tăng lên.'], ['関 炊事、洗濯、掃除、育児/子育て', '']]"
28,出産,しゅっさん,xuất sản,sinh đẻ,"[['1. 先日、姉が女の子を出産した。', 'Ngày trước, chị gái tôi đã sinh đứa bé gái.'], ['関 生む', ''], ['合 ＿祝い', '']]"
29,介護,かいご,giới hộ,"chăm sóc, trông nom","[['1. お年寄りの介護をする。', 'Chăm sóc người già.'], ['関 世話', ''], ['合 ＿保険、在宅＿、＿福祉士', '']]"
30,共働き,ともばたら,cộng động,vợ chồng cùng làm việc,"[['1. 「結婚20年、すっと共働きだ」', 'Kết hôn được 20 năm, hai vợ chồng đi làm suốt.'], ['2. 給料が少ないので、共働きしないと食べていけない。', 'Vì lương thấp nên nếu hai vợ chồng không cùng đi làm thì không đủ ăn.'], ['類 共稼ぎ', ''], ['合 ＿世帯', '']]"
31,出勤,しゅっきん,xuất cần,đi làm,"[['1. 毎朝8時に出勤している。', 'Tôi đi làm vào 8 giờ mỗi ngày.'], ['2. 多くの会社では、出勤時間は9時だ。', 'Rât nhiều công ty có giờ làm việc là 9 giờ.'], ['関 登校', ''], ['合 ＿時間、休日＿、時差＿', ''], ['対 欠勤、退勤', '']]"
32,出世,しゅっせ,xuất thế,sự thăng tiến,"[['1. 出世もしたいが、仕事ばかりの人生も嫌だ。', 'Dù thành đạt nhưng nếu cuộc sống toàn là công việc thì cũng chán.'], ['2. 同期の中で、山口さんが一番出世が早い。', 'Trong những người cùng thời kì thì anh Yamaguchi là người thành đạt nhất.']]"
33,地位,ちい,địa vị,"địa vị, vị trí","[['1. 地位が上がるとともにストレスも増える。', 'Khi địa vị tăng lên thì áp lực cũng nhiều lên.'], ['2. 彼女は女性の地位の向上に力を尽くした。', 'Cô ấy đang cống hiến sức lực để nâng cao vị trí của giới nữ lên.'], ['関 立場、身分', ''], ['合 社会的＿', ''], ['連 ＿が高い＜＝＞低い、＿が上がる＜＝＞下がる、＿が向上する、～＿につく、＿を得る＜＝＞失う', '']]"
34,受験,じゅけん,thụ nghiệm,"kì thi, tham gia kỳ thi","[['1. 東京の大学に受験した。', 'Tôi đã tham gia kì thi của trường đại học ở Tokyo.'], ['2. 司法試験の受験のために、5年間も勉強した。', 'Mất 5 năm học để có thể tham gia kì thi tư pháp.'], ['3. この試験は受験資格は特にない。', 'Kì thi này không đòi hỏi về tư cách tham gia.'], ['関 受ける', ''], ['合 ＿勉強、＿生、＿者、｛中学、高校、大学｝＿、＿料、＿票', '']]"
35,専攻,せんこう,chuyên công,chuyên ngành,"[['1. 私は大学で経済学を専攻した。', 'Tôi đã học khoa kinh tế ở trường đại học.'], ['関 専門', '']]"
36,支度,したく,chi độ,sự chuẩn bị; sự sửa soạn,"[['1. 「出かけるから支度しなさい」', 'Sắp đi ra ngoài nên hãy chuẩn bị các thứ thôi.'], ['2. 「もう支度できた？」', 'Chuẩn bị xong chưa.'], ['3. ｛食事の/旅行の/出かける…｝支度をする。', 'Chuẩn bị {ăn uống/du lịch/ra ngoài… }'], ['関 準備', ''], ['合 準備', '']]"
37,全身,ぜんしん,toàn thân,toàn bộ cơ thể,"[['1. 玄関に、全身を映す大きな鏡が置いてある。', 'Đặt một gương to chiếu được cả cơ thể ở cửa.'], ['2. 年を取ると顔のしわが増える。', 'Càng nhiều tuổi thì nếp nhăn trên mặt cũng tăng lên.']]"
38,皺,しわ,Trứu,nếp nhăn,"[['1. 洗濯物のしわをアイロンで伸ばす。', 'Dùng bàn là để ủi thẳng nếp nhăn trên áo quần.'], ['合 ＿くちゃ', ''], ['連 ＿ができる、＿がよる、＿が伸びる、＿を伸ばす、＿をとる', '']]"
39,服装,ふくそう,phục trang,"quần áo, trang phục","[['1. 「面接にはきちんとした服装で行きなさい」', 'Hãy mặc áo quần chỉnh tề để đi phỏng vấn nhé.'], ['2. 父は服装に構わずどこへでも出かけるので、一緒に歩くのが恥ずかしい。', 'Bố đi đâu cũng không chú ý gì đến trang phục nên đi cùng rất ngại.'], ['連 ＿に構わない', '']]"
40,礼,れい,lễ,"lễ, cảm ơn","[['1. 親切にしてもらった礼を述べた。', 'Phát biểu lời cảm ơn vì đã được đối xử tốt.'], ['2. お礼の品を送る。', 'Gửi quà lễ.'], ['3. お客様が部屋に入ってきたら、立って礼をすること。', 'Khi khách bước vào phòng thì hãy đứng dậy và chào họ.'], ['4. 日本の伝統的な武道は礼を重んじる。', 'Những võ sĩ đạo truyền thống của Nhật rất coi trọng lễ nghĩa.'], ['類 礼儀、お辞儀', ''], ['連 ＿を言う', '']]"
41,(お)世辞,せじ,thế từ,"nịnh, ca tụng","[['1. 「いいネクタイですね」とお世辞を言った。', 'Nói nịnh sếp ""Cà vạt đẹp thật đấy"".'], ['2. 彼の作品はお世辞抜き｛に/で｝素晴らしい。', 'Tác phẩm của anh ấy bỏ qua sự ca tụng thì thật sự tuyệt vời.'], ['連 ＿を言う', ''], ['慣 お世辞にも～とは言えない', '']]"
42,言い訳,い,ngôn dịch,lý do,"[['1. 田中さんはいつも言い訳ばかり言って、自分の失敗を認めようとしない。', 'Anh Tanaka lúc nào cũng biện lí do mà không chịu thừa nhận thất bại của mình.'], ['関 口実', ''], ['類 弁解', '']]"
43,話題,わだい,thoại đề,chủ đề (để nói chuyện),"[['1. 野中さんはとても話題が豊富な人で、話していて楽しい。', 'Anh Nonaka là người phong phú về chủ đề vì thế khi nói chuyện rất thú vị.'], ['2. 初対面の人とは、共通の話題を探すのに苦労する。', 'Để tìm một chủ đề chung để nói chuyện với người mới gặp lần đầu rất vất vả.'], ['3. 最近は政治が話題になることも多い。', 'Gần đây chính trị đang trở thành một chủ đề được bàn tán nhiều.'], ['関 トピック', ''], ['連 ＿になる、＿にする、＿にのぼる、＿が豊富だ', '']]"
44,秘密,ひみつ,tất mật,bí mật,"[['1. 「あなたを信用して私の秘密を打ち明けます」', 'Vì tin tưởng bạn nên tôi sẽ nói bí mật với bạn.'], ['2. 「あなたは秘密を守れますか」', 'Bạn có thể giữ bí mật không?'], ['3. 応募の秘密は厳守します。', 'Tuân thủ nghiêm bí mật ứng cử.'], ['合 ＿厳守', ''], ['連 ＿が漏れる、＿を漏らす、＿を守る、＿打ち明ける', '']]"
45,尊敬,そんけい,tôn kính,tôn trọng,"[['1. マザー・テレサは世界中の人々に尊敬されている。', 'Mẹ Teresa được tôn kính khắp thế giới.'], ['関 敬う、敬意、敬語、謙譲', ''], ['合 ＿語', ''], ['連 ＿を集まる、＿の念を抱く', ''], ['5. 新幹線でたまたま隣り合わせた人と友達になった。', 'Trên tàu siêu tốc Shinkansen thỉnh thoảng người ngồi bên cạnh sẽ trở thành bạn.']]"
46,謙遜,けんそん,khiêm tốn,khiêm tốn,"[['1. 褒められたとき、謙遜して「そんなことはありません」という人も多い。', 'Khi được khen thì nhiều người nói khiêm tốn ""không có chuyện đó đâu"".']]"
47,期待,きたい,kì đãi,"mong chờ, kì vọng","[['1. 山本選手の活躍を期待していたが、\u3000期待はずれの結果に終わった。', 'Dù đã kì vọng vào tuyển thủ Yamamoto nhưng kết quả kết thúc ngoài sự mong chờ.'], ['2. 期待されるのはうれしいが、期待が大きすぎるとプレッシャーを感じる。', 'Khi được kì vọng sẽ thấy vui nhưng khi kì vọng quá lớn thì sẽ cảm thấy áp lực.'], ['3. 子供の将来を期待する。', 'Tôi kì vọng vào tương lai của con trẻ.'], ['4. 新社長に赤字解消を期待している。', 'Kì vọng giám đốc mới sẽ giải quyết được thâm hụt.'], ['合 ＿はずれ', ''], ['連 ＿をかける、＿応える＜＝＞＿を裏切る、＿が大きい、＿に添う', '']]"
48,苦労,くろう,khổ lao,"khó khăn, gian khổ","[['1. 父の死後、母は苦労して私たちを育ててくれた。', 'Sau cái chết của bố, mẹ tôi đã làm việc vất vả để nuôi nấng chúng tôi.'], ['2. 母には本当に苦労を掛けた。', 'Người mẹ thực sự chịu nhiều vất vả.'], ['3. アメリカに留学した1年目は、言葉に苦労した。', 'Trong năm đầu du học đến Mỹ, tôi đã gặp khó khăn về ngôn ngữ.'], ['連 ＿をかける、＿を重ねる', '']]"
49,意志,いし,ý chí,ý chí,"[['1. 彼女は意思が｛固い/強い｝から、きっと目的を達成するだろう。', 'Ý chí của cô ấy rất mạnh mẽ thế nào cũng đạt được mục tiêu.'], ['2. 両親はいつも私の意志を尊重してくれる。', 'Bố mẹ lúc nào cũng tôn trọng ý chí của tôi.'], ['3. 恋人がいるが、今のところ結婚の意思はない。', 'Dù có người yêu nhưng tôi không có ý nghĩ sẽ kết hôn bây giờ.'], ['4. 賛成・反対の意思表示ははっきりしたほうがいい。', 'Nên thể hiện rõ ý chí tán thành hay phản đối.'], ['合 意思表示', ''], ['連 意思が固い、意志が強い＜＝＞弱い、意志がある＜＝＞ない、意志を示す', '']]"
50,感情,かんじょう,cảm tình,"cảm xúc, cảm giác, tình cảm","[['1. 田中さんはすぐに感情が顔に出る。', 'Anh Tanaka ngay lập tức biểu thị cảm xúc lên khuôn mặt.'], ['2. 感情を込めて歌う。', 'Hát với tất cả cảm xúc.'], ['3. 相手があまりひどいことを言いうので、感情を抑えられず、殴ってしまった。', 'Vì đối phương nói những lời khá cay độc, không kìm được cảm xúc đã lỡ tay đánh họ.'], ['4. 鈴木さんは感情な人で、すぐに泣いたり怒ったりする。', 'Chị Suzuki là người có tình cảm, dễ khóc dễ cười.'], ['5. 間違いを指摘され、つい感情になって反論してしまった。', 'Bị chỉ trích sai lầm, vô tình chạm đến cảm xúc nên đã phản luận lại.'], ['合 ＿的な', ''], ['対 理性、理性的な、冷静な', ''], ['連 ＿を出す＜＝＞抑える、＿に走る、＿になる', '']]"
51,材料,ざいりょう,tài liệu,nguyên liệu,"[['1. スーパーへ夕食の材料を買いに行った。', 'Đến siêu thị mua nguyên liệu cho bữa tối.'], ['2. 伝統的な日本の家の材料は、木・竹・土など、自然の物が多い。', 'Nguyên liệu cho những ngôi nhà truyền thống ở Nhật là gỗ, tre, đất… đa số là những thứ của tự nhiên.'], ['3. A\u3000案がいいのかB\u3000案がいいのか、判断の材料が足りない。', 'Không đủ những tư liệu để phán đoán rằng dự án A hay dự án B tốt.'], ['関 原料、素材', ''], ['合 判断＿、不安＿', '']]"
52,石,いし,thạch,hòn đá,"[['1. グラウンドに落ちている石を拾った。', 'Nhặt những hòn đá rơi trên sân bóng.'], ['2. いしにつまずいて転んだ。', 'Trượt chân vấp hòn đá nên ngã.'], ['関 土、泥、砂、岩', '']]"
53,紐,ひも,nữu/nựu,dây,"[['1. 古新聞をひもで縛る。', 'Buộc báo củ bằng dây.'], ['2. くつのひもを結ぶ。', 'Buộc dây giày.'], ['関 なわ、ロープ、綱、鎖', ''], ['連 ＿を結ぶ＜＝＞ほどく、＿で縛る、＿でくくる', '']]"
54,券,けん,khoán,vé,"[['1. あの店はいつも込んでいて、入るのに整理券が必要だ。', 'Cửa hàng đó lúc nào cũng đông đúc nên vào cần phải có vé thứ tự.'], ['関 チケット、切符', ''], ['合 入場＿、整理＿、＿売機', '']]"
55,名簿,めいぼ,danh bộ,"danh bạ, danh sách","[['1. クラスの名簿を作る。', 'Tạo danh sách lớp.'], ['合 同窓会＿、会員＿', '']]"
56,表,おもて,biểu,bảng biểu,"[['1. 成績を表にする。', 'Đưa thành tích lên bảng.'], ['2. 学生の携帯の番号がこの表に載っている。', 'Đưa số điện thoại của học sinh lên bảng này.'], ['関 グラフ、リスト', ''], ['合 ｛予定/成績/統計/一覧…｝表', ''], ['連 ＿に載る、＿に載せる', '']]"
57,針,はり,châm,kim,"[['1. 針に糸を通す。', 'Xâu chỉ vào kim.'], ['2. 針で縫う。', 'Dùng kim để khâu.'], ['3. ハチは針で人を刺す。', 'Ong đốt người bằng vòi'], ['4. ｛時計/注射/ホチキス…｝の針', 'Kim đồng hồ/kim tiêm/kim bấm giấy…']]"
58,栓,せん,xuyên,"nút, nắp","[['1. ビールの栓を抜く。', 'Mở nắp bia.'], ['2. 風呂に栓をする。', 'Đậy bồn tắm.'], ['3. 水道の栓を閉める。', 'Đóng vòi nước.'], ['関 レバー、ノブ、ハンドル、コック、取っ手', ''], ['類 ふた', ''], ['合 ＿抜き、水道＿、ガス＿、消火＿、元＿', ''], ['連 ＿を抜く、＿をする、＿を閉める＜＝＞開ける、＿を緩める', '']]"
59,湯気,ゆげ,thang khí,hơi nước,"[['1. うどんの湯気で眼鏡が曇ってしまった。', 'Hơi từ bát mì Udon bám vào làm mờ mắt kính.'], ['2. 大浴場は湯気で向こうの方が見えなかった。', 'Ở bể tắm công cộng do hơi nước nên không thể thấy người đối diện.'], ['連 ＿が立つ', '']]"
60,日当たり,ひあ,nhật đương/đáng,nơi có ánh sáng chiếu vào,"[['1. 私の部屋は南向きで日当たりがいい。', 'Phòng tôi hướng nam nên ánh sáng mặt trời chiếu rất tốt.'], ['連 ＿がいい＜＝＞悪い', '']]"
61,空,そら,không,trống rỗng,"[['1. 昨夜は一人でワイン一瓶をからにした。', 'Đêm qua một mình uống cạn chai vang.'], ['合 空っぽ', '']]"
62,斜め,なな,tà,nghiêng,"[['1. 地震で家が斜めに傾いた。', 'Do động đất nên nhà bị nghiêng.'], ['2. 壁にかかっているカレンダーが斜めになっている。', 'Tấm lịch treo trên tường bị nghiêng.'], ['3. 斜め向かいの店は客がよく入っている。', 'Cửa hàng ở phía chếch hướng ấy rất đông khách.'], ['4. 斜めに線を引く。', 'Gạch chéo đường.'], ['合 ご機嫌＿', '']]"
63,履歴,りれき,lí lịch,lý lịch,"[['1. 会社に応募するにあたり、履歴書を書いた。', 'Để ứng cử vào công ty nên tôi đã viết sơ yếu lí lịch.'], ['合 ＿書、着信＿', '']]"
64,娯楽,ごらく,ngu lạc/nhạc,"vui chơi, thú vui","[['1. うちの父は、釣りを娯楽として楽しんでいる。', 'Bố tôi lấy việc câu cá làm thú tiêu khiển.'], ['2. 「この辺は娯楽が少ないから、若い人は街へ出て行ってしまうんです」', 'Ở vùng này không có nhiều thú vui nên người trẻ họ lên thành phố cả.'], ['合 ＿施設、＿費', '']]"
65,司会,しかい,ti/tư hội,"chủ tịch, chủ hội","[['1. 友人に結婚式の司会を頼んだ。', 'Tôi nhờ bạn làm chủ hội trong lễ cưới.'], ['2. ｛会議/番組…｝の司会をする。', 'Chủ trì cuộc họp/dẫn chương trình…'], ['合 ＿者', '']]"
66,歓迎,かんげい,hoan nghênh,hoan nghênh,"[['1. 新入社員を歓迎する会が開かれた。', 'Tổ chức buổi tiệc đón những nhân viên mới.'], ['2. 宇宙飛行士たちはどこへ行っても大歓迎を受けた。', 'Những phi hành gia vũ trụ đi đến đâu cũng nhận được sự hoan nghênh lớn.'], ['3. 「どんどん意見を言ってくれ。議論はいつでも歓迎だ」', 'Mọi người hăng hái phát biểu ý kiến, hội nghị lúc nào cũng được chào đón nhiệt tình.'], ['合 大＿、＿会', ''], ['連 ＿を受ける', '']]"
67,窓口,まどぐち,song khẩu,cửa bán vé,"[['1. ｛銀行/役所/病院…｝の窓口には大勢の人が並んでいる。', 'Ở cửa bán vé {ngân hàng/công sở/bệnh viện… } rất đông người đang xếp hàng.'], ['2. ◯◯友好協会は、A 国との文化交流の窓口になっている。', 'Hiệp hội hữu nghị đã trở thành cánh cửa giao lưu văn hóa với nước A.']]"
68,手続き,てつづ,thủ tục,thủ tục,"[['1. 入学の手作りをする。', 'Làm thủ tục nhập học.'], ['2. 正規の手作りを経て商品を輸入した。', 'Sau khi trải qua thủ tục chính thức sẽ nhập hàng.'], ['3. 手作りには時間がかかる。', 'Thủ tục thì mất nhiều thời gian.'], ['4. 駅からうちまで、徒歩10分です。', 'Từ nhà ga đến nhà đi bộ mất 10 phút.']]"
69,徒歩,とほ,đồ bộ,đi bộ,"[['1. 会社に徒歩で通っている。', 'Tôi đi bộ đến công ty.']]"
70,駐車,ちゅうしゃ,trú xa,đỗ xe,"[['1. 日曜日の都心は駐車することがない。', 'Vào ngày chủ nhật của thành phố không thể đậu xe.'], ['2. 駐車違反で捕まった。', 'Bị bắt vì tội vi phạm đậu xe.'], ['関 停車', ''], ['合 ＿場、＿禁止、＿違反', '']]"
71,違反,いはん,vi phản,vi phạm,"[['1. ｛規則/法律…｝に違反する。', ''], ['関 反する', ''], ['合 スピード＿、法律＿、選挙＿', '']]"
72,平日,へいじつ,bình nhật,ngày thường,"[['1. あの店は、平日は9時まで営業している。', 'Cửa hàng đó ngày thường kinh doanh đến 9 giờ.'], ['対 土日、週末、祝祭日、休日', '']]"
73,日付,ひづけ,nhật phụ,ngày tháng,"[['1. 日付を書く。', 'Viết ngày tháng.'], ['2. 日付のない書類は無効だ。', 'Tài liệu không có ngày tháng thì không có tác dụng.'], ['関 日時', ''], ['合 ＿変更線', '']]"
74,日中,にっちゅう,nhật trung,ban ngày,"[['1. 昨晩は冷え込むが、日中は穏やかな天気が続いている。', 'Buổi tối thì trời se lạnh lại nhưng ban ngày thì thời tiết nắng ấm kéo dài.'], ['対 夜間', '']]"
75,日程,にってい,nhật trình,"lịch trình, kế hoạch","[['1. 急な用事で、旅行の日程を変えた。', 'Vì có công việc khẩn nên đã thay đổi lịch trình du lịch.'], ['2. 仕事の日程がぎっしり詰まっている。', 'Kín lịch làm việc.'], ['関 予定、スケジュール', ''], ['合 ＿表', '']]"
76,日帰り,ひがえ,nhật quy,đi về trong ngày,"[['1. 日光は東京から日帰りで行けます。', 'Từ Tokyo đến Nikkou có thể đi trong ngày.'], ['2. 福岡から東京まで日帰りで出張した。', 'Đi công tác trong ngày từ Kukuoka đến Tokyo.'], ['3. 休みに日帰り旅行しよう。', 'Hãy đi du lịch trong ngày vào ngày nghỉ nhé.'], ['関 一泊二日、二泊三日', ''], ['合 ＿旅行', '']]"
77,順序,じゅんじょ,thuận tự,thứ tự,"[['1. 子供たちが教室に順序よく並んで入っていく。', 'Bon trẻ xếp hàng ngay ngắn lần lượt theo thứ tự vào lớp.'], ['2. セットアップの順序を間違えたのか、パソコンがうまく動かない。', 'Thứ tự cài đặt bị nhầm nên máy tính không hoạt động tốt.'], ['類 順番、順', ''], ['合 ＿よく', '']]"
