stt,word,furigana,Sino-Vietnamese,meaning,example
11,戸締り,とじま,HỘ ĐẾ,Khóa cửa,"[['1. 寝る前に戸締まりを確かめた。', 'Tôi đã kiểm tra đã khóa cửa hết chưa trước khi tôi đi ngủ.'], ['2. しっかり戸締まり（を）して出かけた。', 'Tôi khóa cửa cẩn thận rồi mới đi ra khỏi nhà.']]"
12,ずぶぬれ,,,"Ướt đẫm, ướt sũng","[['1. 歩いていると、急に雨が降り出し、ずぶぬれになった。', 'Đang đi bộ thì trời đột nhiên mưa, quần áo tôi ướt sũng.'], ['2. ずぶぬれの服', 'Quần áo ướt đẫm']]"
13,顔つき,かお,NHAN,"Vẻ mặt, biểu cảm","[['① 医者の厳しい顔つきから、母の病状がよくないことがわかった。', 'Nhìn nét mặt nghiêm trọng của bác sĩ, tôi hiểu rằng bệnh tình của mẹ không được tốt.'], ['類 表情', 'Biểu hiện, biểu cảm'], ['関 目つき', 'Ánh mắt'], ['② あの子は男の子だが、性格も優しく、顔つきも女の子のようだ。', 'Đứa trẻ kia là con trai, ấy vậy mà tính cách thì nhẹ nhàng, nét mặt cũng giống như con gái vậy.'], ['類 顔立ち', 'Nét mặt'], ['関 体つき', 'Thể hình, hình dáng, vóc dáng']]"
14,身なり,み,THÂN,"Ngoại hình, diện mạo","[['1. このレストランの客は、みな立派な身なりをしている。', 'Khách hàng của nhà hàng này, ai cũng ăn mặc chỉnh tề.'], ['2. 人前に立つ職業の人は、身なりにも気を遣うことが多い。', 'Người làm nghề mà phải đứng trước đám đông thường rất chú ý đến diện mạo của bản thân nữa.'], ['連 ＿がいい⇔悪い', 'Ăn mặc chỉnh chu <=> luộm thuộm'], ['連 ＿が立派だ⇔みすぼらしい', 'Ăn mặc sang trọng ⇔ Tả tơi'], ['連 ＿に気を遣う', 'Chú ý đến diện mạo'], ['連 ＿を気にする', 'Để tâm đến cách ăn mặc'], ['類 服装', 'Trang phục, quần áo']]"
15,身の回り,み,THÂN HỒI,Chuyện thường ngày,"[['1. 祖母は98歳だが、身の回りのことはすべて自分でできる。', 'Bà đã 98 tuổi nhưng vẫn có thể làm mọi việc cá nhân.'], ['2. 最近、身の回りでいろいろな出来事があった。', 'Gần đây, xung quanh tôi xảy ra rất nhiều chuyện.'], ['類 身辺', 'Xung quanh mình']]"
16,身振り,みぶ,THÂN CHẤN,"Cử chỉ, điệu bộ","[['1. コミュニケーションでは、言葉だけでなく身振りも重要な役割を果たす。', 'Trong giao tiếp không chỉ ngôn từ mà cử chỉ cũng đóng vai trò quan trọng.'], ['2. 外国で、道を身振り手振りで教えてもらった。', 'Ở nước ngoài, tôi được người ta chỉ đường bằng cử chỉ tay chân.'], ['関 振り', 'Cử chỉ'], ['関 手振り', 'Cử chỉ của tay'], ['関 ジェスチャー', 'Cử chỉ; điệu bộ'], ['関 振り付け', 'Biên đạo múa']]"
17,良心,りょうしん,LƯƠNG TÂM,Lương tâm,"[['1. やむを得ずうそをついたが、いつまでも良心が｛痛んだ／とがめた｝。', 'Buộc phải nói dối, nhưng lương tâm tôi cứ cắn rứt mãi.'], ['2. 彼女は良心の痛みに耐えられず、罪を告白した。', 'Cô ấy không chịu được sự giằng vặt lương tâm và đã thú tội.'], ['連 ＿がある⇔ない', 'Có/Không có lương tâm'], ['連 ＿が痛む', 'Lương tâm cắn rứt'], ['連 ＿の痛み', 'Nỗi đau lương tâm'], ['連 ＿に恥じる', 'Hổ thẹn với lương tâm'], ['連 ＿がとがめる', 'Lương tâm cắn rứt'], ['連 ＿の呵責', 'Dằn vặt lương tâm'], ['合 ＿的な\u3000｛例.\u3000この店は高級な革製品を良心的な値段で売っている。}', 'Có đạo lý, hợp tình (Ví dụ: Cửa hàng này bán đồ da cao cấp với giá hợp lý.)']]"
18,素質,そしつ,TỐ CHẤT,Tố chất,"[['1. あの子は音楽の素質がある。', 'Đứa trẻ kia có năng khiếu âm nhạc.'], ['2. 教師は生徒の素質を見抜いた。', 'Người giáo viên đã nhìn thấy tố chất của người học sinh.'], ['連 ＿がある⇔ない', 'Có/Không có tố chất'], ['類 才能', 'Tài năng']]"
19,好意,こうい,HẢO Ý,"Ý tốt, thiện chí","[['1. 彼は一目見て彼女に好意を持った。', 'Anh ấy vừa nhìn qua thì đã có cảm tình với cô ấy.'], ['2. 先輩の好意\u3000(/厚意）に甘え、10万円貸してもらった。', 'Nhờ vào lòng tốt của tiền bối, tôi được cho mượn 10 vạn Yên.'], ['3. 人からの言葉は、なるべく好意的に解釈するようにしている。', 'Tôi cố gắng hiều lời nói từ người khác theo một cách thiện chí nhất có thể.'], ['連 二＿を持つ', 'Có thiện cảm'], ['連 二＿を抱く', 'Có thiện cảm'], ['連 二＿を寄せる', 'Có thiện cảm'], ['連 ＿を無にする', 'Làm mất thiện cảm'], ['連 ＿に甘える', 'Tiếp nhận lòng tốt'], ['合 ＿的な', 'Thiện chí, có ý tốt'], ['対 敵意', 'Thù địch'], ['類 好感', 'Thiện cảm'], ['※ 「厚意」は自分に対する他者の気持ちに使う。', 'Dùng khi nói cảm xúc của người khác đối với bản thân mình.']]"
20,ため息,いき,TỨC,Thở dài,"[['1. 減っていく貯金残高を見つめながら、彼女は｛深い／大きな｝ため息をついた。', 'Nhìn số tiền tiết kiệm đang giảm đi, cô ấy đã thở dài ngao ngán.'], ['連 ＿をつく', 'Thở dài'], ['連 深い＿', 'Thở dài sâu']]"
21,ど忘れ,わす,VONG,"Chợt quên, đột nhiên quên","[['1. 好きな俳優の名前をど忘れてしまい、どうしても出てこない。', 'Quên đột nhiên quên mất tên diễn viên yêu thích, cố thế nào cũng không nhớ ra nổi.']]"
22,用心,ようじん,DỤNG TÂM,Cẩn trọng,"[['1. 夜道を歩くときは、用心のために防犯ブザーを持っておくといい。', 'Khi đi trên đường vào buổi tối, để đề phòng thì nên mang theo còi báo động tội phạm.'], ['2. 「振り込め詐欺には十分用心してください。」', 'Hãy đặc biệt cẩn thận với việc lừa đảo chuyển khoản qua ngân hàng.'], ['3. たぶん大丈夫だと思うが、用心するに越したことはない。', 'Có thể không sao đâu nhưng cẩn thận vẫn hơn.'], ['連 火の＿', 'Cẩn thận với lửa'], ['合 ＿深い', 'Cẩn thận, thận trọng'], ['対 不＿（な）', 'Cẩu thả, bất cẩn'], ['関 ガ／ヲ注意スル', 'Chú ý'], ['関 ヲ警戒スル', 'Cảnh giác, đề phòng'], ['関 気をつける', 'Chú ý']]"
23,予感,よかん,DỰ CẢM,"Dự cảm, linh tính","[['1. 今日はなんだかいいことがありそうな予感がする。', 'Hôm nay tôi có linh cảm như sẽ có điều gì đó tốt đẹp xảy ra.'], ['2. 何か嫌な予感がする。', 'Có dự cảm không lành.'], ['3. 彼が遺言状を書いたのは、死を予感したからかもしれない。', 'Việc ông ấy viết di chúc có lẽ là ổng đã dự cảm được cái chết của mình.'], ['連 ～＿がする', 'Có cảm giác ∼'], ['連 ～＿がある', 'Có dự cảm ∼'], ['連 嫌な＿', 'Dự cảm xấu'], ['連 悪い＿', 'Linh cảm xấu']]"
24,視線,しせん,THỊ TUYẾN,"Ánh nhìn, liếc","[['1. 視線を感じて、振り向くと、知らない人が私を見ていた。', 'Cảm nhận được ánh mắt nhìn mình, quay mặt lại thì thấy người lạ đang nhìn tôi.'], ['2. 私は身長が２メートルもあるので、どこへ行っても好奇の視線を浴びる。', 'Tôi cao đến 2 mét nên đi đâu cũng thu hút ánh nhìn hiếu kì của mọi người.'], ['連 ＿が合う', 'Ánh mắt chạm nhau'], ['連 ＿を合わせる', 'Nhìn vào mắt nhau'], ['連 ＿をそらす', 'Lảng tránh ánh mắt'], ['連 ＿をはずす', 'Né tránh ánh mắt'], ['連 ＿を浴びる', 'Bị người khác nhìn']]"
25,迷信,めいしん,MÊ TÍN,Mê tín,"[['1. 「玄関が北にあるのは、縁起が悪いだって」\u3000「そんなの迷信だよ。」', '""Ngõ vào hướng Bắc thì vận may không tốt."" ""Chuyện đó chỉ là mê tín mà thôi.""'], ['連 ＿を信じる', 'Tin vào điều mê tín']]"
26,縁,えん,DUYÊN,"Duyên nợ, mối liên hệ","[['① 「またお会いしましたね。ご縁がありますね。」', '""Chúng ta lại gặp nhau rồi. Có duyên đấy nhỉ.""'], ['② 祖父は政治家だが、私はこれまで政治とは縁のない人生を送ってきた。', 'Ông tôi là chính trị gia, nhưng tôi đang sống 1 cuộc sống không có mối liên quan đến chính trị.'], ['連 ①②＿がある⇔ない', 'Có duyên <=> Không có duyên'], ['連 ＿が深い', 'Có mối liên hệ mật thiết'], ['合 ②無＿な', 'Không liên quan, không có duyên'], ['類 ②関係', 'Quan hệ'], ['③ 家の財産を使い果たして、父に親子の縁を切られた。', 'Tôi đã tiêu xài hết tài sản của gia đình, và đã bị cha mình từ mặt.'], ['合 血＿', 'Huyết thống'], ['合 ＿故', 'Mối quan hệ, mối thân tình'], ['合 離＿', 'Cắt đứt quan hệ'], ['合 絶＿', 'Cắt đứt hoàn toàn quan hệ'], ['合 ｛親類／親戚｝＿者', 'Họ hàng thân thích'], ['合 ＿起', 'Điềm báo'], ['☆ 縁起', 'Điềm báo'], ['15. 「もし手術が失敗したら．．．」「縁起でもないこと、言わないで」', '""Nếu như mà ca phẫu thuật thất bại…"" ""Đừng có nói những chuyện không tốt lành vậy.""'], ['16. 日本では、八は縁起のいい数、四と九は縁起の悪い数ということになっている。', 'Ở Nhật thì số 8 là con số may mắn, còn 4 là con số xui xẻo.'], ['連 ＿がいい⇔ない悪い', 'Điềm lành <=> Điềm xấu'], ['連 ＿でもない', 'Xui xẻo'], ['連 ＿を担ぐ', 'Mê tín, tin vào điềm báo'], ['※ もともとは仏教\u3000用語', 'Vốn là thuật ngữ trong Phật giáo.']]"
27,使い捨て,つか,SỬ XÁ,Dùng một lần,"[['1. 使い捨ての紙コップは便利だが、資源の無駄になるかもしれない。', 'Cốc giấy dùng một lần thì tiện lợi thật nhưng có thể gây lãng phí tài nguyên.'], ['2. 使い捨てのライター', 'Bật lửa dùng một lần'], ['3. 何でも使い捨てにせず、大切に使うようにしたい。', 'Tôi cũng muốn sử dụng cẩn thận, chứ không phải cái gì cũng dùng một lần rồi bỏ.'], ['連 ＿にする', 'Sử dụng một lần rồi bỏ']]"
28,下取り,したど,HẠ THỦ,"Đổi, trao đổi","[['1. 新しい車や大型電気製品を買うと古い方は普通、業者が下取りしてくれる。', 'Khi mua xe mới hay đồ điện tử cỡ lớn, sản phẩm cũ thường sẽ được công ty thu mua lại.'], ['連 ＿に出す', 'Đổ cũ lấy mới'], ['合 ＿価格', 'Giá thu mua (hàng cũ đổi mới)']]"
29,倹約,けんやく,KIỆM ƯỚC,Tiết kiệm,"[['1. 給料が減ったので、もっと倹約しなければならない。', 'Lương giảm cho nên càng phải tiết kiệm hơn nữa.'], ['連 ＿に努める', 'Nỗ lực tiết kiệm'], ['合 ＿家', 'Người sống tiết kiệm'], ['類 ヲ節約（ヲ）スル', 'Tiết kiệm'], ['※ 「節約」は資源や時間に関しても使えるが、「倹約」は使えない。', '節約 có thể dùng với tài nguyên, thời gian, còn 倹約 thì không thể.'], ['関 ヲ切り詰める', 'Giảm bớt, cắt giảm']]"
30,出費,しゅっぴ,XUẤT PHÍ,Chi phí,"[['1. 今年は、子供の進学で出費がかさんだ。', 'Năm nay, con cái đi học cấp cao hơn  cho nên là chi phí tăng lên.'], ['連 ＿が多い⇔少ない', 'Chi tiêu nhiều <=> Chi tiêu ít'], ['連 ＿がかさむ', 'Chi phí tăng lên'], ['連 ＿を切り詰める', 'Cắt giảm chi tiêu']]"
31,会計,かいけい,HỘI KẾ,"Kế toán, tính tiền","[['① 私はサークルで会計を担当している。', 'Tôi phụ trách kế toán trong câu lạc bộ.'], ['合 ＿報告', 'Báo cáo tài chính'], ['合 ＿係', 'Nhân viên kế toán'], ['合 （公認）＿士', 'Kế toán viên (có chứng chỉ hành nghề)'], ['② 会計を済ませて店を出ると１０時だった。', 'Hoàn tất việc thanh toán, rồi ra khỏi cửa hàng thì cũng đã 10h rồi.'], ['「（お）会計、お願いします。」', 'Xin hãy tính tiền cho tôi.'], ['連 ＿を済ませる', 'Hoàn tất thanh toán'], ['類 （お）勘定', 'Thanh toán, tính tiền'], ['関 計算', 'Tính toán']]"
32,所得,しょとく,SỞ ĐẮC,Thu nhập,"[['1. 所得の範囲内で生活する。', 'Tôi sống trong phạm vi thu nhập của mình.'], ['2. 第二次世界大戦後、政府は「所得倍増計画」を打ち出した。', 'Sau Thế chiến II, chính phủ đã đề xuất kế hoạch nhân đôi thu nhập.'], ['連 ＿が高い⇔低い', 'Thu nhập cao <=> thấp'], ['合 ＿格差', 'Chênh lệch thu nhập'], ['合 ＿控除', 'Khấu trừ thu nhập'], ['合 ＿税', 'Thuế thu nhập'], ['類 収入', 'Thu nhập'], ['※ 収入の方が日常的な言葉', '収入 là từ có tính thông dụng hơn trong hội thoại hàng ngày.']]"
33,採用,さいよう,THẢI DỤNG,"Tuyển dụng, thu nhận","[['① 新入社員を\u3000５人採用することになった。', 'Đã quyết định tuyển 5 nhân viên mới.'], ['採用試験を受ける。', 'Tham gia kỳ thi tuyển dụng.'], ['合 ＿試験', 'Kỳ thi tuyển dụng'], ['合 現地＿', 'Tuyển dụng tại địa phương'], ['合 ＿条件', 'Điều kiện tuyển dụng'], ['合 ＿基準', 'Tiêu chí tuyển dụng'], ['関 ヲ雇用スル', 'Tuyển dụng'], ['② 会議で、私の案が採用された。', 'Ở cuộc họp, đề án của tôi đã được chấp nhận.'], ['関 ヲ取り上げる', 'Đưa ra, nêu ra (chủ đề, vấn đề)'], ['対 ①②不採用\u3000（×不採用する\u3000\u3000\u3000○不採用にする）', 'Không được tuyển (bị loại)']]"
34,雇用,こよう,CỐ DỤNG,Tuyển dụng,"[['1. 人手不足のため、会社は新たに５人を雇用した。', 'Do thiếu nhân lực, công ty đã thuê mới thêm 5 người.'], ['2. 雇用を促進するため、政府はさまざまな政策を打ち出した。', 'Chính phủ đưa ra nhiều chính sách nhằm thúc đẩy việc làm.'], ['合 終身＿', 'Tuyển dụng suốt đời (hệ thống làm việc đến khi nghỉ hưu)'], ['合 ＿主', 'Chủ thuê lao động'], ['合 ＿条件', 'Điều kiện lao động'], ['合 ＿者⇔被＿者', 'Người tuyển dụng ⇔ Người được tuyển dụng'], ['合 ＿促進', 'Thúc đẩy việc làm'], ['対 ヲ解雇する', 'Sa thải / Cho nghỉ việc'], ['関 ヲ雇う', 'Thuê (người làm)'], ['関 ヲ採用スル', 'Tuyển dụng'], ['関 ヲ採る', 'Tuyển (nhân sự v.v.)']]"
35,所属,しょぞく,SỞ THUỘC,"Thành viên, thuộc vào","[['1. 人事異動で営業部の所属になった。', 'Do thay đổi nhân sự, tôi đã được chuyển sang bộ phận kinh doanh.'], ['2. 私は区のボランティア会に所属している。', 'Tôi là thành viên của hội tình nguyện quận.'], ['合 ＿部隊', 'Đơn vị trực thuộc']]"
36,待遇,たいぐう,ĐÃI NGỘ,Đãi ngộ,"[['① あの会社は給与も高く、従業員の待遇がいい。', 'Công ty đó có mức lương cao và chế độ đãi ngộ nhân viên tốt.'], ['課長は地位に見合った待遇を受けていないと思う。', 'Tôi nghĩ trưởng phòng không được đãi ngộ xứng đáng với chức vụ.'], ['彼は部長待遇で入社した。', 'Anh ấy được nhận vào công ty với đãi ngộ tương đương trưởng bộ phận.'], ['合 ［名詞］＋待遇', 'Đãi ngộ (đi kèm danh từ)'], ['関 処遇', 'Sự đối đãi, cách xử lý (tình huống, con người)'], ['② 息子の華やかなパーティーで、田舎から上京した両親は冷たい待遇を受けていた。', 'Trong bữa tiệc xa hoa của con trai, cha mẹ từ quê lên Tokyo bị đối xử lạnh nhạt.'], ['大臣は、訪問した国賓待遇のもてなしを受けた。', 'Bộ trưởng đã được tiếp đãi với với sự tiếp đãi của vị khách cấp quốc gia.'], ['関 もてなし', 'Sự tiếp đón, chiêu đãi'], ['連 ①②＿がいい⇔悪い', 'Đãi ngộ tốt ⇔ kém'], ['連 ～＿を受ける', 'Nhận được sự đãi ngộ ~']]"
37,派遣,はけん,PHÁI KHIỂN,Phái cử,"[['1. 国連は内戦の起きたA国に調査団を派遣した。', 'Liên Hợp Quốc đã cử đoàn điều tra đến nước A, nơi đã xảy ra nội chiến.'], ['2. 今回のオリンピックには、過去最高の数の選手が派遣された。', 'Kỳ Olympic lần này có số lượng vận động viên được cử đi nhiều nhất từ trước đến nay.'], ['合 人材＿', 'Phái cử lao động'], ['合 ＿会社', 'Công ty phái cử lao động'], ['合 ＿労働', 'Lao động phái cử'], ['合 災害＿', 'Cử đi cứu trợ thiên tai']]"
38,赴任,ふにん,PHÓ NHÂM,Nhậm chức (ở nơi khác),"[['1. 辞令を受けて東京本社から大阪支社｛へ／に｝赴任した。', 'Sau khi nhận quyết định bổ nhiệm, tôi đã từ trụ sở Tokyo chuyển đến công tác mới tại chi nhánh Osaka.'], ['合 単身＿', 'Công tác xa một mình'], ['合 海外＿', 'Công tác ở nước ngoài'], ['合 ＿地', 'Nơi công tác mới'], ['合 ＿先', 'Địa điểm công tác mới']]"
39,地元,じもと,ĐỊA NGUYÊN,Địa phương,"[['① 親元から離れたくないので、地元の会社で働きたい。', 'Vì không muốn rời xa gia đình nên tôi muốn làm việc tại công ty ở quê nhà.'], ['② あの政治家は地元の声に耳を傾けている。', 'Vị chính trị gia kia đang lắng nghe tiếng nói của người dân địa phương.']]"
40,現役,げんえき,HIỆN DỊCH,"Đương chức, đương nhiệm","[['① 長嶋\u3000選手は４０歳を超えているが、まだ現役としてがんばっている。', 'Tuyển thủ Nagashima đã hơn 40 tuổi nhưng vẫn đang nỗ lực vẫn chưa giải nghệ.'], ['現役の｛選手／医者／歌手．．．｝', 'Tuyển thủ/Bác sĩ/Ca sĩ... đang hoạt động'], ['生涯現役を貫きたい。', 'Tôi muốn làm việc cống hiến đến suốt đời.'], ['連 ＿を退く', 'Từ chức, rút lui (khỏi chức vụ hoặc vị trí)'], ['連 ＿を引退する', 'Giải nghệ, nghỉ hưu (từ bỏ sự nghiệp chuyên môn)'], ['② 現役で東京大学に合格するとはすごい。', 'Việc thi đỗ ngay vào Đại học Tokyo ngay thật sự đáng khâm phục.'], ['合 ＿合格', 'Đỗ ngay (không cần thi lại)'], ['対 浪人', 'Học sinh trượt đại học và đang ôn thi lại để thi năm sau'], ['関 一郎', 'Thi lại sau 1 năm'], ['関 二浪', 'Thi lại sau 2 năm']]"
41,指図,さしず,CHỈ ĐỒ,Hướng dẫn,"[['1. メンバーはリーダーの指図で働いている。', 'Các thành viên đang làm việc theo sự chỉ dẫn của người lãnh đạo.'], ['2. 部下｛を／に｝指図して会議の準備をさせた。', 'Chỉ đạo cấp dưới chuẩn bị cho cuộc họp.'], ['3. 「あなたの指図は受けたくない」', 'Tôi không muốn bị anh sai khiến.'], ['連 ＿を受ける', 'Nhận lệnh, tiếp nhận mệnh lệnh'], ['連 ＿に従う', 'Tuân theo, làm theo chỉ thị'], ['類 ヲ指揮する', 'Chỉ huy (một nhóm, một đội, hay tổ chức...)'], ['関 ヲ指示スル', 'Ra chỉ thị, hướng dẫn cụ thể'], ['関 ヲ命令スル', 'Ra lệnh (mạnh mẽ, mang tính ép buộc)']]"
42,操縦,そうじゅう,THAO TÚNG,"Điều khiển, thao tác","[['① 将来は飛行機を操縦するパイロットになりたい。', 'Tương lai tôi muốn trở thành phi công điều khiển máy bay.'], ['船を操縦する', 'Lái tàu/thuyền'], ['※ 「操縦」は飛行機や船舶などを動かすときに使う。', '“操縦” dùng khi điều khiển các phương tiện lớn như máy bay, tàu thuyền….'], ['合 ＿かん\u3000（例．操縦かんを握る。）', 'Cần điều khiển (Ví dụ: Nắm cần điều khiển)'], ['合 ＿士', 'Người điều khiển (phi công, lái tàu...)'], ['合 ＿席', 'Ghế điều khiển'], ['合 ＿性', 'Khả năng điều khiển (dễ lái, khó lái)'], ['関 ヲ運転スル', 'Lái (thường dùng với xe)'], ['関 ヲ操る', 'Vận hành, điều khiển (một cách thuần thục)'], ['② あの家は、妻が夫をうまく操縦している。', 'Ở gia đình đó, người vợ khéo léo thao túng chồng mình.'], ['類 ヲ操る', 'Điều khiển, thao túng']]"
43,主食,しゅしょく,CHỦ THỰC,Bữa chính,"[['1. 日本人は米を主食にしている。', 'Người Nhật lấy gạo làm lương thực chính.'], ['対 副食', 'Món ăn phụ'], ['対 おかず', 'Món ăn kèm (ăn với cơm)'], ['関 ごはん', 'Cơm']]"
44,食物,しょくもつ,THỰC VẬT,Đồ ăn,"[['1. 食物によって引き起こされるアレルギーもある。', 'Cũng có những loại dị ứng do thực phẩm gây ra.'], ['2. 食物本来のおいしさを味わうには少し硬いの方がいいそうだ。', 'Nghe nói để thưởng thức được hương vị vốn có của thực phẩm, thì thức ăn hơi cứng một chút sẽ thích hợp hơn.'], ['合 ＿繊維', 'Chất xơ thực phẩm'], ['合 ＿連鎖', 'Chuỗi thức ăn']]"
45,穀物,こくもつ,CỐC VẬT,Ngũ cốc,"[['1. 日本は、米以外の穀物は輸入に頼っている。', 'Nhật Bản phụ thuộc vào nhập khẩu các loại ngũ cốc khác ngoài gạo.'], ['※ 米以外の穀物としては、麦、マメ、トウモロコシなどがある。', 'Ngoài gạo, các loại ngũ cốc còn có: lúa mì, các loại đậu, ngô,...'], ['類 穀類', 'Ngũ cốc']]"
46,豊作,ほうさく,PHONG TÁC,Mùa màng bội thu,"[['1. 今年は米が豊作だ。', 'Năm nay lúa được mùa.'], ['対 不作', 'Mất mùa'], ['対 凶作', 'Mất mùa nghiêm trọng']]"
47,例年,れいねん,LỆ NIÊN,Hằng năm,"[['1. 例年（は）１１月に行われる学園祭が、今年は１０月に繰り上げられた。', 'Ngày hội trường vốn diễn ra vào tháng 11 hằng năm, nhưng năm nay được tổ chức sớm vào tháng 10.'], ['2. 今年の夏は、例年にない暑さだった。', 'Mùa hè năm nay nóng chưa từng thấy so với mọi năm.'], ['3. 今年も新入生歓迎会が例年通りに行われた。', 'Năm nay buổi lễ chào đón tân sinh viên vẫn được tổ chức như mọi năm.'], ['連 ＿にない＋【名詞】、＿になく＋【形容詞など】', 'N/A +“chưa từng thấy""']]"
