stt,word,furigana,Sino-Vietnamese,meaning,example
15,年,とし,niên,"năm, tuổi","[['1. 年の初めに１年の計画を立てる', 'Lập kế hoạch cho một năm vào đầu năm mới.'], ['2. 父は年より若く見える', 'Bố tôi nhìn trẻ hơn so với tuổi.'], ['連 ＿が始まる<=>終わる、\u3000＿が明ける、\u3000＿が過ぎる', 'Bắt đầu năm mới <=> kết thúc một năm, khởi đầu năm mới, trải qua một năm'], ['合 ＿明け', 'Sự khởi đầu năm mới'], ['連 ＿をとる', 'Có tuổi'], ['合 （お）＿寄り', 'Người lớn tuổi'], ['類 年齢', 'Tuổi tác']]"
16,出身,しゅっしん,xuất thân,"xuất thân, gốc gác","[['1. 「ご出身はどちらですか」...「東京です」', '""Bạn đến từ đâu?"" ""Đến từ Tokyo.""'], ['2. 私は｛東京／東京大学\u3000…｝（の）出身です', 'Tôi đến từ {Tokyo / đại học Tokyo…}.'], ['合 ＿地、\u3000＿校、\u3000［地名／学校名\u3000…］＋出身', 'Nơi sinh, trường đã học']]"
17,故郷,こきょう,cố hương,quê hương,"[['1. 仕事が忙しくて、もう何年も故郷に帰っていない', 'Vì công việc bận rộn, nên nhiều năm chưa trở về quê hương.'], ['類 ふるさと', 'Quê hương']]"
18,成長,せいちょう,thành trường/trưởng,"sinh trưởng, phát triển, trưởng thành","[['1. 子どもの成長を喜ぶ', 'Vui mừng về sự trưởng thành của đứa con.'], ['2. りっぱな大人に成長する', 'Trưởng thành thành người chững chạc.'], ['3. 事業の成長', 'Tăng trưởng kinh doanh.'], ['4. 経済が大きく成長した', 'Nền kinh tế phát triển mạnh'], ['合 高度経済＿、\u3000＿率', 'Kinh tế phát triển mạnh, tỷ lệ tăng trưởng']]"
19,成人,せいじん,thành nhân,người trưởng thành,"[['1. 日本では二十歳以上の人を成人という', 'Ở Nhật người ta gọi người trên 20 tuổi là người trưởng thành.'], ['2. 息子は成人して働いている', 'Con trai tôi đã trưởng thành và đang đi làm.'], ['合 ＿式', 'Lễ thành nhân'], ['対 未成年', 'Vị thành niên (Ở Nhật là dưới 20 tuổi)']]"
20,合格,ごうかく,hợp cách,"thi đỗ, trúng tuyển","[['1. ｛大学／入学試験／検査\u3000…｝に合格する', 'Đỗ {Kỳ thi đại học / Kỳ thi nhập học / Kiểm tra ...}.'], ['合 ＿者、\u3000＿率', 'Người trúng tuyển, tỷ lệ trúng tuyển'], ['対 不合格\u3000（✕不合格する\u3000○不合格にする／不合格だ）', 'Không đỗ (✖Không dùng từ này \u3000◯ Đánh trượt / Không đỗ)']]"
21,進学,しんがく,tiến học,học lên,"[['1. 子どもの進学について考える', 'Tôi suy nghĩ về việc học lên của đứa con.'], ['2. 大学院に進学する', 'Tiếp tục học lên cao học.'], ['合 率', 'Tỷ lệ học lên']]"
22,退学,たいがく,thoái học,thôi học,"[['1. 退学の理由を説明する', 'Trình bày lý do thôi học.'], ['2. 病気で大学を退学した', 'Vì bị ốm nên phải thôi học đại học.'], ['合 ＿届、\u3000＿処分', '_ đơn xin thôi học, _ xử lý thôi học'], ['関 中退', 'Nghỉ học giữa chừng']]"
23,就職,しゅうしょく,tựu chức,tìm việc,"[['1. 旅行会社に就職する', 'Tôi sẽ làm việc ở công ty du lịch.'], ['合 ＿活動、\u3000＿試験、\u3000＿難', 'Tìm kiếm việc làm, kỳ thi xin việc, khó xin việc'], ['対 退職', 'Thôi việc, thoái chức'], ['関 履歴書', 'Sơ yếu lí lịch']]"
24,退職,たいしょく,thoái chức,nghỉ việc,"[['1. 母の介護のため、退職を決めた', 'Tôi quyết định thôi việc để chăm sóc mẹ.'], ['2. 長年勤めた会社を退職した', 'Tôi đã nghỉ việc ở công ty làm lâu năm.'], ['合 定年＿、\u3000＿金', 'Về hưu, tiền hưu trí'], ['対 就職', 'Xin việc'], ['類 辞職', 'Từ chức']]"
25,失業,しつぎょう,thất nghiệp,thất nghiệp,"[['1. 会社が倒産して失業した', 'Vì công ty phá sản nên tôi thất nghiệp.'], ['合 ＿率、\u3000＿者、\u3000＿保険', 'Tỷ lệ thất nghiệp, người thất nghiệp, bảo hiểm thất nghiệp'], ['関 くび、\u3000リストラ', 'Đuổi việc, tái cơ cấu']]"
26,残業,ざんぎょう,tàn nghiệp,làm thêm giờ,"[['1. 残業が多くて疲れた', 'Vì tăng ca nhiều nên mệt mỏi.'], ['合 ＿代、\u3000＿時間', 'Tiền tăng ca, thời gian tăng ca']]"
27,生活,せいかつ,sinh hoạt,"sinh hoạt, cuộc sống","[['1. 健康的な生活を送る', 'Sống cuộc sống khỏe mạnh.'], ['2. 「もう日本の生活に慣れましたか」', '""Bạn đã quen với cuộc sống ở Nhật chưa?""'], ['3. 外国で生活するのは楽しい', 'Cuộc sống ở nước ngoài rất vui.'], ['4. 虫の生活を観察する', 'Quan sát đời sống của côn trùng\xa0.'], ['連 ＿が苦しい <=> 楽だ、｛楽しい／苦しい／豊かな\u3000…｝＿を送る', 'Cuộc sống khổ cực <=> Cuộc sống vui vẻ, cuộc sống {vui vẻ / khốn khó / dư giả ...}'], ['合 ＿費、\u3000学生＿、\u3000社会＿、\u3000結婚＿、\u3000年金＿', 'Chi phí sinh hoạt, đời sinh viên, đời sống xã hội, đời sống hôn nhân, cuộc sống hưu trí'], ['類 暮らし', 'Cuộc sống']]"
28,通勤,つうきん,thông cần,đi làm,"[['1. 私は毎日１時間かけて通勤している', 'Hàng ngày tôi mất một tiếng đi làm.'], ['合 ＿時間', 'Thời gian đi làm'], ['関 通学、\u3000通院', 'Đi học, đi đến bệnh viện']]"
29,学歴,がくれき,học lịch,"bằng cấp, quá trình học tập","[['1. 学歴が高くても、実力があるかどうかはわからない', 'Cho dù bằng cấp cao nhưng thực lực thì không biết thế nào.'], ['2. 子どもにいい学歴をつけさせたいと思う親が多い', 'Nhiều bố mẹ muốn con mình có lý lịch học vấn tốt.'], ['連 ＿が高い <=> 低い、\u3000＿をつける', 'Trình độ học vấn cao <=> trình độ học vấn thấp, lấy bằng (đại học …)'], ['合 高＿、\u3000＿社会', 'Học vấn cao, xã hội coi trọng bằng cấp']]"
30,給料,きゅうりょう,cấp liệu,tiền lương,"[['1. 会社から給料をもらう', 'Nhận lương từ công ty.'], ['合 ＿日', 'Ngày nhận lương'], ['関 時給、\u3000月給', 'Lương theo giờ, lương tháng']]"
31,面接,めんせつ,diện tiếp,phỏng vấn,"[['1. きょう、会社の人との面接がある', 'Hôm nay có buổi phỏng vấn với người trong công ty.'], ['2. 受験者の面接を行う', 'Tiến hành phỏng vấn thí sinh.'], ['3. 先生が学生を面接する', 'Giáo viên phỏng vấn sinh viên.'], ['合 ＿試験、\u3000＿官', 'Kỳ thi phỏng vấn, người phỏng vấn']]"
32,休憩,きゅうけい,hưu khế,nghỉ giải lao,"[['1. 「ではここで、１０分間の休憩です」', '""Thế thì, nghỉ giải lao 10 phút từ bây giờ.""'], ['連 ＿をとる', 'Nghỉ giải lao'], ['合 ＿時間、\u3000＿室、\u3000＿所', 'Thời gian giải lao, phòng giải lao, nơi giải lao']]"
33,観光,かんこう,quan quang,"tham quan, du lịch","[['1. 「来日の目的は観光です」', 'Mục đích đến Nhật Bản là du lịch.'], ['2. 先週、京都を観光してまわった', 'Tuần trước, tôi đã đi tham quan ở Kyoto.'], ['合 ＿客、\u3000＿旅行、\u3000＿地、\u3000＿バス、\u3000［地名］\u3000＋\u3000観光\u3000（例．京都観光）', 'Khách tham quan, tham quan du lịch , khu du lịch, xe khách du lịch, du lịch + [địa điểm] (VD: du lịch Kyoto)']]"
34,帰国,きこく,quy quốc,về nước,"[['1. 今度の正月には帰国するつもりだ', 'Dịp tết lần này tôi dự định sẽ về nước.']]"
35,帰省,きせい,quy tỉnh,về quê,"[['1. お盆にはふるさとに帰省する日本人が多い', 'Vào dịp lễ Obon rất nhiều người Nhật về quê nhà.']]"
36,帰宅,きたく,quy trạch,về nhà,"[['1. 毎日忙しくて帰宅が遅い', 'Hàng ngày tôi bận cho nên về nhà muộn.'], ['合 ＿時間', 'Thời gian về nhà']]"
37,参加,さんか,tham gia,tham gia,"[['1. ボランティア活動に参加する', 'Tham gia các hoạt động tình nguyện.'], ['合 ＿者', 'Người\xa0tham gia'], ['対 不参加\u3000（○不参加だ\u3000✕不参加する）', 'Không tham gia']]"
38,出席,しゅっせき,xuất tịch,"tham gia, có mặt","[['1. ミーテイングに出席する', 'Tham dự cuộc họp.'], ['合 ＿者、\u3000＿届', 'Người tham gia, thông báo tham gia']]"
39,欠席,けっせき,khiếm tịch,vắng mặt,"[['1. 授業を欠席する', 'Vắng mặt buổi học.'], ['2. 高橋さんは今度の同窓会は｛欠席だ／欠席する｝そうだ', 'Nghe nói họp lớp lần này anh Takahashi sẽ vắng mặt.'], ['合 ＿者、\u3000＿届', 'Người vắng mặt, thông báo vắng mặt']]"
40,遅刻,ちこく,trì khắc,đến muộn,"[['1. 寝坊して授業に遅刻する', 'Vì ngủ quên nên đến lớp trễ.'], ['2. 面接では１分の遅刻も許されない', 'Tại buổi phỏng vấn một phút trễ cũng không được.']]"
41,化粧,けしょう,hóa trang,trang điểm,"[['1. 「あなたは毎日、お化粧に何分ぐらいかけていますか」', '""Bạn mất bao nhiêu phút để trang điểm mỗi ngày?""'], ['連 ＿を落とす、\u3000＿が濃い <=> 薄い', 'Tẩy trang, trang điểm đậm <=> trang điểm nhẹ'], ['合 ＿品', 'Mỹ phẩm'], ['類 メイク', 'Trang điểm'], ['関 口紅', 'Son môi']]"
42,計算,けいさん,kê/kế toán,tính toán,"[['1. 私は計算が苦手だ', 'Tôi không giỏi tính toán.'], ['2. 旅行にいくらかかるか計算する', 'Tính toán xem chi phí du lịch tiêu tốn bao nhiêu.'], ['関 電卓＜電子式卓上計算機＞', 'Máy tính bỏ túi']]"
43,計画,けいかく,kê/kế họa/hoạch,kế hoạch,"[['1. 来年の計画を立てる', 'Lập kế hoạch cho năm tới.'], ['2. 夏休みには富士山に登ろうと計画している', 'Tôi đang lên kế hoạch leo núi Phú Sĩ vào kỳ nghỉ hè.'], ['連 ＿を立てる', 'Thiết lập kế hoạch'], ['類 プラン', 'Kế hoạch']]"
44,成功,せいこう,thành công,thành công,"[['1. 実験に成功する', 'Thí nghiệm thành công.'], ['2. 実験は大成功だった', 'Thí nghiệm đại thành công.'], ['合 大＿', 'Thành công lớn']]"
45,失敗,しっぱい,thất bại,thất bại,"[['1. 実験の失敗で、計画は中止になった', 'Vì thí nghiệm thất bại nên kế hoạch phải dừng lại.'], ['2. このパソコンを買ったのは失敗だった', 'Việc mua cái máy tính này là thất bại.'], ['3. 入試に失敗する', 'Trượt kỳ thi tuyển sinh.'], ['4. 計画が失敗した', 'Kế hoạch thất bại.'], ['合 大＿', 'Thất bại lớn']]"
46,準備,じゅんび,chuẩn bị,chuẩn bị,"[['1. 引っ越しの準備が終わった', 'Việc chuẩn bị chuyển nhà đã xong.'], ['2. 会議の資料を準備する', 'Chuẩn bị tài liệu cho cuộc học.'], ['類 用意', 'Chuẩn bị, sửa soạn']]"
47,整理,せいり,chỉnh lí,"sắp xếp, vứt bỏ","[['1. 資料の整理', 'Sắp xếp tài liệu.'], ['2. 勉強の前に机の上を整理する', 'Dọn dẹp mọi thứ trên bàn trước khi học bài.'], ['3. 不要品の整理', 'Dọn dẹp đồ không dùng đến.'], ['4. 引っ越しの前に、古い物を整理する', 'Trước khi chuyển nhà, tôi vứt bớt đồ cũ.']]"
48,注文,ちゅうもん,chú văn,"đặt hàng, gọi đồ, yêu cầu","[['1. 注文の品が届く', 'Sản phẩm đặt hàng sẽ được gửi đến.'], ['2. 喫茶店でコーヒーを注文する', 'Gọi cà phê tại quán giải khát.'], ['3. 書店に本を注文する', 'Đặt mua sách ở tiệm sách.'], ['4. 工事を早くするように注文をつける', 'Yêu cầu thực hiện nhanh việc xây dựng.'], ['連 ＿をとる', 'Gọi hàng, đặt hàng'], ['連 ＿をつける', 'Yêu cầu, đề nghị']]"
49,貯金,ちょきん,trữ kim,"tiền tiết kiệm, gửi tiết kiệm","[['1. 貯金が増える', 'Tiền tiết kiệm gia tăng.'], ['2. 銀行にボーナスを貯金する', 'Gửi tiết kiệm số tiền thưởng vào ngân hàng.'], ['連 ＿をおろす、\u3000＿を引き出す', 'Rút tiền tiết kiệm'], ['合 ＿通帳、\u3000＿箱', 'Sổ tiết kiệm, hộp tiết kiệm'], ['類 預金', 'Tiền gửi ngân hàng']]"
50,徹夜,てつや,triệt dạ,"thức suốt đêm, thức trắng đêm","[['1. 徹夜が続く', 'Liên tục thức trắng đêm.'], ['2. 徹夜で勉強する', 'Học suốt đêm không ngủ.'], ['3. きょうは徹夜だ', 'Hôm nay thức cả đêm.'], ['4. 仕事で徹夜をする', 'Thức trắng đêm vì công việc.']]"
51,引っ越し,ひ,dẫn việt,chuyển nhà,"[['1. 引っ越しを手伝う', 'Giúp đỡ chuyển nhà.'], ['2. 東京から横浜へ引っ越しする', 'Tôi sẽ chuyển nhà từ Tokyo đến Yokohama.'], ['動 引っ越す', 'Chuyển nhà']]"
52,身長,しんちょう,thân trường/trưởng,chiều cao cơ thể,"[['1. 身長を測る', 'Đo chiều cao\xa0cơ thể.'], ['2. 兄は身長が高い', 'Anh trai tôi cao.'], ['連 ＿が高い <=> 低い、\u3000＿が伸びる', 'Cao <=> thấp, tăng chiều cao'], ['関 背', 'Chiều cao, vóc dáng']]"
53,体重,たいじゅう,thể trọng/trùng,"cân nặng, trọng lượng","[['1. 体重を測る', 'Đo cân nặng.'], ['2. 父の体重は６０キロだ', 'Cân nặng của bố tôi là 60kg.'], ['連 ＿が多い <=> 少ない、\u3000＿が増える <=> 減る', 'Nặng ký <=> nhẹ ký, tăng cân <=> giảm\xa0cân'], ['合 ＿計', 'Cái cân'], ['関 太る <=> やせる', 'Mập lên <=> gầy đi']]"
54,けが,,,vết thương,"[['1. 小さなけが', 'Vết thương nhỏ.'], ['2. 転んで足にけがをした', 'Bị thương ở chân do té ngã.'], ['連 ＿をする、\u3000＿が治る、\u3000＿を治す', 'Bị thương, lành vết thương, điều trị vết thương'], ['合 大＿、\u3000＿人', 'Bị thương nặng, người bị thương'], ['関 きず、\u3000やけど、\u3000骨折', 'Trầy xước, bỏng, gãy xương']]"
55,会,かい,hội,bữa tiệc,"[['1. 忘年会を｛開く／する｝', 'Mở tiệc tất niên.'], ['合 忘年＿、新年＿、送別＿、歓迎＿、飲み＿、宴＿、誕生日＿、クリスマス＿、同窓＿', 'Tiệc cuối năm, Tiệc đầu năm, Tiệc chia tay, Tiệc chào mừng, Tiệc nhậu, Yến tiệc, Tiệc sinh nhật, Tiệc giáng sinh, Họp lớp']]"
56,趣味,しゅみ,thú vị,"sở thích, gu thẩm mỹ","[['1. 趣味は読書です', 'Sở thích của tôi là đọc sách.'], ['2. 彼女はいつも趣味のいい服を着ている', 'Cô ấy lúc nào cũng mặc quần áo hợp thời trang.'], ['連 ＿が広い', 'Sở thích phong phú'], ['連 ＿がいい<=> 悪い', 'Gu thẩm mỹ tốt <=> gu thẩm mỹ kém']]"
57,興味,きょうみ,hưng/hứng vị,hứng thú,"[['1. 私は歴史に興味がある', 'Tôi có hứng thú với lịch sử.'], ['2. 小さな子供は何にでも興味を持つ', 'Trẻ nhỏ hiếu kì với tất cả mọi thứ.'], ['連 ＿がある <=> ない、\u3000＿を持つ', 'Có hứng thú <=> Không có hứng thú, Có quan tâm'], ['合 ＿深い', 'Rất hứng thú'], ['類 関心', 'Quan tâm']]"
58,思い出,おも,tư xuất,kỷ niệm,"[['1. 子どものころの思い出', 'Kỷ niệm thời thơ ấu.'], ['2. 日本で富士山に登ったのは、いい思い出だ', 'Leo núi Phú Sĩ ở Nhật là một kỷ niệm đẹp.'], ['連 いい＿', 'Kỷ niệm đẹp'], ['関 思い出す', 'Nhớ lại, hồi tưởng']]"
59,冗談,じょうだん,nhũng đàm,nói đùa,"[['1. 冗談を言ったら、みんなが本気にした', 'Tôi nói đùa mà mọi người xem là thật.'], ['連 ＿を言う\u3000✕冗談する', 'Nói đùa']]"
60,目的,もくてき,mục đích,mục đích,"[['1. 日本に来た目的は大学への入学だ', 'Mục đích tôi đến Nhật Bản là vào đại học.'], ['合 ＿地', 'Điểm đến'], ['関 目標', 'Mục tiêu']]"
61,約束,やくそく,ước thúc,"hứa, hứa hẹn","[['1. 彼と結婚の約束をした', 'Tôi đã hẹn ước kết hôn cùng anh ấy.'], ['2. 再会を約束して別れた', 'Chia tay hẹn ngày tái ngộ.'], ['3. 約束の時間に間に合うかどうか心配だ', 'Tôi lo lắng về việc liệu tôi có thể kịp thời gian cuộc hẹn hay không.'], ['連 ＿を守る <=> 破る', 'Giữ lời <=> thất hứa']]"
62,おしゃべり,,,"nói chuyện, tán gẫu","[['1. 授業中に隣の人とおしゃべりしていて、先生に怒られた', 'Vì tôi nói chuyện suốt với bạn bên cạnh trong giờ học nên làm giáo viên giận.'], ['2. おしゃべりな人', 'Người nói nhiều.'], ['3. あの人はおしゃべりだ', 'Người kia hay nói chuyện.'], ['動 しゃべる', 'Tám chuyện']]"
63,遠慮,えんりょ,viễn lự,"khách khí, ngại ngần","[['1. 「遠慮しないで食べてください」', '""Ăn đi, đừng khách khí.""'], ['2. 上司に遠慮して、自分の意見が言えなかった', 'Tôi ngại ngần với cấp trên nên không thể nói ý kiến của mình.'], ['3. 「ここではたばこはご遠慮ください」', 'Vui lòng không hút thuốc ở đây.']]"
64,我慢,がまん,ngã mạn,"chịu đựng, nhẫn nại","[['1. 痛くてもがまんする', 'Dù đau nhưng vẫn chịu đựng.'], ['2. 眠いのをがまんして勉強した', 'Tôi đã kiềm chế buồn ngủ để học bài.'], ['合 ＿強い', 'Giỏi chịu đựng']]"
65,迷惑,めいわく,mê hoặc,"làm phiền, quấy rầy","[['1. 人に迷惑をかけてはいけない', 'Không được làm phiền người khác.'], ['2. 夜中に騒がれて迷惑する', 'Thật phiền phức vì giữa đêm bị làm ồn.'], ['3. 迷惑な人', 'Người gây phiền phức.'], ['連 ＿がかかる、\u3000＿をかける', 'Bị làm phiền, làm phiền'], ['合 近所＿', 'Quấy rầy hàng xóm']]"
66,希望,きぼう,hi vọng,"hy vọng, kỳ vọng, khao khát","[['1. 最後まで希望を捨ててはいけない', 'Không được từ bỏ hy vọng khi chưa kết thúc.'], ['2. 私はふるさとでの就職を希望している', 'Tôi hy vọng tìm được việc ở quê nhà.'], ['合 ＿者', 'Người có nguyện vọng'], ['類 望み', 'Niềm mong ước'], ['関 望む', 'Mong ước, khao khát']]"
67,夢,ゆめ,mộng,giấc mơ,"[['1. きのう、こわい夢を見た', 'Hôm qua, tôi đã gặp ác mộng.'], ['2. 「あなたの将来の夢は何ですか」', 'Ước mơ tương lai của bạn là gì?'], ['連 ＿を見る、\u3000＿からさめる', 'Nằm mơ, tỉnh giấc mộng'], ['連 ＿がある <=> ない、\u3000＿を持つ、\u3000＿がかなう、\u3000＿をかなえる', 'Có ước mơ <=> không có hoài bão, có ước mơ, ước mơ thành hiện thực, hiện thực hóa ước mơ']]"
68,賛成,さんせい,tán thành,"tán thành, đồng ý","[['1. 「賛成の人は手を挙げてください」', '""Ai tán thành thì giơ tay!""'], ['2. 私はその｛提案／意見｝に｛賛成だ／賛成する｝', 'Tôi đồng ý với {đề án / ý kiến} đó.'], ['合 ＿意見', 'Ý kiến\xa0tán thành'], ['対 反対', 'Phản đối']]"
69,反対,はんたい,phản đối,"đối ngược, phản đối","[['1. プラスの反対はマイナスだ', 'Ngược lại với cộng là trừ.'], ['2. 彼の意見には反対だ', 'Tôi phản đối với ý kiến \u200b\u200bcủa anh ấy.'], ['3. 提案に反対する', 'Phản đối đề án.'], ['合 ＿意見', 'Ý kiên phản đối'], ['対 賛成', 'Tán thành, đồng ý']]"
70,想像,そうぞう,tưởng tượng,tưởng tượng,"[['1. 想像と現実は違う', 'Tưởng tượng và thực tế khác nhau.'], ['2. 100 年後の未来を想像する', 'Hình dung về tương lai 100 năm\xa0sau.'], ['連 ＿がつく', 'Có thể đoán được'], ['合 ＿力', 'Trí tưởng tượng']]"
71,努力,どりょく,nỗ lực,"nỗ lực, sự cố gắng","[['1. 一生懸命、努力をする', 'Cố gắng hết sức.'], ['連 ＿を重ねる、\u3000＿が実る', 'Tăng cường nỗ lực, thành quả nỗ lực'], ['合 ＿家', 'Người cần cù']]"
72,太陽,たいよう,thái dương,"mặt trời, ánh mặt trời","[['1. 太陽が昇って、暖かくなった', 'Mặt trời lên, thời tiết trở nên ấm áp.'], ['連 ＿が昇る <=> 沈む、\u3000＿が出る', 'Mặt trời mọc <=> Mặt trời lặn, mặt trời ló rạng'], ['類 日', 'Mặt trời, ánh mặt trời'], ['関 地球、\u3000月、\u3000星', 'Trái đất, mặt trăng, ngôi sao']]"
73,地球,ちきゅう,địa cầu,"trái đất, địa cầu","[['1. 地球の環境が悪化している', 'Môi trường của trái đất ngày càng xấu đi.'], ['合 ＿温暖化', 'Nóng lên toàn cầu'], ['関 太陽、\u3000月、\u3000星', 'Mặt trời, mặt trăng, ngôi sao']]"
74,温度,おんど,ôn độ,nhiệt độ,"[['1. 温度を測る', 'Đo nhiệt độ.'], ['連 ＿が高い <=> 低い、\u3000＿が上がる <=> 下がる、\u3000＿を上げる <=> 下げる', 'Nhiệt độ cao <=> nhiệt độ thấp, nhiệt độ tăng <-> nhiệt độ giảm, tăng nhiệt độ <-> giảm nhiệt độ'], ['関 気温、\u3000体温、\u3000湿度', 'Nhiệt độ, thân nhiệt, độ ẩm']]"
75,湿度,しつど,thấp độ,độ ẩm,"[['1. 今年の夏は特に湿度が高い', 'Hè năm nay độ ẩm cao một cách bất thường.'], ['2. きょうは湿度が６０％で蒸し暑い', 'Hôm nay trời oi bức, độ ẩm 60%.'], ['連 ＿が高い <=> 低い', 'Độ ẩm cao <=> độ ẩm thấp'], ['関 湿気、蒸し暑い', 'Hơi ẩm, oi bức']]"
76,湿気,しっけ,thấp khí,"hơi ẩm, sự ẩm ướt","[['1. 日本の夏は湿気が多い', 'Mùa hè ở Nhật Bản rất ẩm ướt.'], ['連 ＿が多い <=> 少ない', 'Có nhiều hơi ẩm <=> ít hơi ẩm'], ['関 湿度、\u3000除湿、\u3000蒸し暑い', 'Độ ẩm, hút ẩm, oi bức']]"
77,梅雨,つゆ,mai vũ,mùa mưa,"[['1. ６月から７月は梅雨の時期だ', 'Từ tháng 6 đến tháng 7 là mùa mưa.'], ['連 ＿に入る <=> が明ける', 'Bắt đầu mùa mưa <=> kết thúc mùa mưa'], ['合 ＿入り <=> 明け', 'Đầu mùa mưa <=> cuối mùa mưa'], ['関 梅雨前線', 'Khối không khí gây mưa']]"
78,かび,,,nấm mốc,"[['1. 梅雨の時期はかびがはえやすい', 'Mùa mưa nấm mốc dễ phát triển.'], ['連 ＿がはえる', 'Nổi mốc']]"
79,暖房,だんぼう,noãn phòng,"điều hòa chế độ làm ấm, máy sưởi ấm","[['1. 寒いので暖房をつける', 'Bởi vì trời lạnh nên bật máy sưởi ấm.'], ['2. この部屋は暖房がきいていて暖かい', 'Phòng này ấm nhờ hiệu quả của hệ thống sưởi ấm.'], ['連 ＿をつける <=> 消す、\u3000＿を入れる、\u3000＿を止める、\u3000＿がきく', 'Bật máy sưởi ấm <=> tắt máy sưởi ấm, bật máy sưởi ấm, tắt máy sưởi ấm, hiệu quả máy sưởi ấm'], ['対 冷房、\u3000クーラー', 'Điều hòa chế độ làm mát, hệ thống làm mát'], ['関 エアコン、\u3000ヒーター、\u3000ストーブ', 'Máy điều hòa, máy sưởi, lò sưởi']]"
80,皮,かわ,bì,"da, vỏ","[['1. ｛くだもの／やさい／どうぶつ\u3000…｝の皮', 'Vỏ, da {Trái cây / rau củ / động vật ...}.'], ['2. りんごの皮をむいて食べる', 'Ăn táo gọt vỏ.'], ['連 ＿をむく', 'Gọt vỏ'], ['合 毛＿（けがわ）', 'Lông thú']]"
